title,url,date,summary,MediaAgency,title_english,summary_english,tags
അടുത്ത മാർപ്പാപ്പ ട്രംപ്?  ആ സ്ഥാനം ആഗ്രഹിക്കുന്നെന്ന് പറഞ്ഞതിന് പിന്നാലെ പുതിയ ചിത്രം വൈറൽ,https://keralakaumudi.com/news/news.php?id=1527342&u=pope-trump--new-avatar-days-after-love-to-be-next-pope-remark,03-05-2025,വാഷിംഗ്ടൺ: പുതിയ മാർപ്പാപ്പയെ തിരഞ്ഞെടുക്കുന്നതുമായി ബന്ധപ്പെട്ടുള്ള ചർച്ചകളും മറ്റും നടന്നുകൊണ്ടിരിക്കുകയാണ്.,KerelaKaumudi,The next Papappa Trump?Following the new movie viral after saying that he would like that position,Discussions and others are going on to take a new Pope.,"{'miscs': ['Pope', 'Papappa'], 'events': ['politics']}"
നടിയുടെ ഹോട്ട് ചിത്രം ലൈക്ക് ചെയ്‌തു; വിശദീകരണവുമായി വിരാട് കൊഹ്‌ലി,https://keralakaumudi.com/news/news.php?id=1527332&u=registered-an-interaction’-memes-flood-x-amid-virat-kohli’s-statement-after-avneet-kaur-row,03-05-2025,നടി അവ്നീത് കൗറിന്റെ ഹോട്ട് ചിത്രം ഇന്ത്യൻ ക്രിക്കറ്റ് താരം വിരാട് കൊഹ്‌ലി ലൈക്ക് ചെയ്തത് സോഷ്യൽ മീഡിയയിൽ വലിയ ചർച്ചകൾക്ക് വഴിവെച്ചിരുന്നു.,KerelaKaumudi,Virat Kohli with an explanation of actress's hot picture,Actress Avnat Kaur's Hot film Indian cricketer Virat Kohli Like was lacing in social media.,"{'pers': ['Avnat Ka', 'Virat Kohl'], 'miscs': ['Indian'], 'events': ['sports']}"
"അനുജത്തിയെ   കാണിച്ച്   ചേച്ചിയെ   കെട്ടിക്കുന്ന  പരിപാടിയുമായി   കെഎസ്ആർടിസി, യാത്രക്കാരെ   രക്ഷിച്ചത്  മഴ",https://keralakaumudi.com/news/news.php?id=1527333&u=ksrtc-premium-superfast-bus-replaced-by-ac-low-floor-bus,03-05-2025,കൊച്ചി: തമ്പാനൂർ ഡിപ്പോയിൽ നിന്ന് എറണാകുളത്തെത്തിയ പ്രീമിയം ബസിന്റെ മടക്കയാത്ര സാങ്കേതിക തകരാറിനെ തുടർന്നാണ് മുടങ്ങിയത്.,KerelaKaumudi,"KSRTC Saved the passenger to show her sister, and saved the passenger",The premium of the Thumbnoor Depot came from the Ernakulam's premium to take a technical crash.,"{'orgs': ['KSRTC'], 'locs': ['Kerala, 682035, India'], 'events': ['accident']}"
സർജിക്കൽ സ്‌‌ട്രൈക്ക് നടത്തിയതിന് തെളിവ് വേണമെന്ന് കോൺഗ്രസ് എംപി; മറുപടിയുമായി ഡൽഹി മന്ത്രി,https://keralakaumudi.com/news/news.php?id=1527336&u=congress-mp-charanjit-channi-says-he-could-not-find-where-surgical-strike-took-place,03-05-2025,ചണ്ഡീഗഡ്: പാകിസ്ഥാനെതിരെ ഇന്ത്യ നടത്തിയ സർജിക്കൽ സ്‌ട്രൈക്കിന്റെ തെളിവ് ആവശ്യപ്പെട്ട് പഞ്ചാബ് മുൻ മുഖ്യമന്ത്രിയും കോൺഗ്രസ് എംപിയുമായ ചരൺജിത് സിംഗ് ചന്നി.,KerelaKaumudi,Delhi demands proof of the surgical strike,"Punjab, former chief minister and Congress MP candidates demanding the evidence of the surgical strike against Pakistan in Chandigarh.","{'locs': ['Delhi, India', 'Chandigarh, India', 'Pakistan', 'Punjab, India'], 'orgs': ['Congress'], 'events': ['politics']}"
നടുറോഡിൽ കമിതാക്കളെ തല്ലിച്ചതച്ച് മാതാപിതാക്കൾ; ചെരിപ്പൂരി തല്ലുന്നതടക്കമുള്ള ദൃശ്യങ്ങൾ സമൂഹമാദ്ധ്യമത്തിൽ,https://keralakaumudi.com/news/news.php?id=1527339&u=parents-thrashed-son-and-lover-seen-eating-chowmein,03-05-2025,കാൺപൂർ: മകനെയും കാമുകിയെയും നാട്ടുകാർ നോക്കിനിൽക്കെ നടുറോഡിലിട്ട് തല്ലിച്ചതച്ച് മാതാപിതാക്കൾ. ഉത്തർപ്രദേശിലെ കാൺപൂരിൽ രാംഗോപാൽ ജംഗ്‌ഷനിലാണ് സംഭവം.,KerelaKaumudi,"Society in the community, including his parents beating the centers in the middle","Parents beat in middle of the Kanpur, a girlfriend, watching the Kanpur, a girlfriend.The incident happened in the Ramgopal Junction in Kanpur in Uttar Pradesh.","{'locs': ['Kanpur Nagar, Uttar Pradesh, India', 'Uttar Pradesh, India'], 'events': []}"
പത്താം ക്ലാസ് വിദ്യാർത്ഥിയെ തൂങ്ങിമരിച്ചനിലയിൽ കണ്ടെത്തി,https://keralakaumudi.com/news/news.php?id=1526709&u=student-found-dead,02-05-2025,പാലക്കാട്: പത്താം ക്ലാസ് വിദ്യാർത്ഥിയെ തൂങ്ങി മരിച്ച നിലയിൽ കണ്ടെത്തി. കൂടല്ലൂർ കല്ലിങ്ങൽ മുഹമ്മദ് കുട്ടിയുടെ മകൻ ഇബ്രാഹിം ബാദുഷയാണ് മരിച്ചത്.,KerelaKaumudi,Found the 10th grade student as hanging,Palakkad was found hanging on hanging on the tenth class.Kuthaur Kallingal Mohammed Kullungal Mohammed Kutti is the son of Ibrahim Badusha.,"{'pers': ['PakadK', 'Ibrahim Badush', 'Kallingal Mohammed Kullungal Mohammed Kutti'], 'events': []}"
"'ഞങ്ങൾ സദസിലുണ്ട്, രാജീവ് ചന്ദ്രശേഖർ വേദിയിലും', പരിഹാസവുമായി മന്ത്രി മുഹമ്മദ് റിയാസ്; മന്ത്രിയെ ട്രോളി രാഹുൽ മാങ്കൂട്ടത്തിലും",https://keralakaumudi.com/news/news.php?id=1526702&u=muhammed-riyas-fb-post,02-05-2025,തിരുവനന്തപുരം: വിഴിഞ്ഞം തുറമുഖ ഉദ്ഘാടനത്തിന് പിന്നാലെ പരിഹാസവുമായി മന്ത്രി മുഹമ്മദ് റിയാസ്. ചടങ്ങിൽ ബി ജെ പി സംസ്ഥാന അദ്ധ്യക്ഷൻ രാജീവ് ചന്ദ്രശേഖറിന് വേദിയിൽ ഇരിപ്പിടം നൽകിയതിനെയാണ് മന്ത്രി പരിഹസിച്ചിരിക്കുന്നത്.,KerelaKaumudi,"'We have in Sadas and Rajeev Chandrasekhar Vedi', Mohammed Riyaz Minister in Troli Rahul","Minister of Minister Mohammed Riyaz, who followed the inauguration of the Vizhinjam port of Thiruvananthapuram.BJP state president Rajeev Chandrasekhand gave seating in the venue.","{'pers': ['Sadas', 'Rajeev Chandrasekhar V', 'Mohammed R', 'Mohammed Riyaz', 'Rajeev Chandrasekhand', 'Ra'], 'locs': ['Northeast, 471 29, Czechia', 'Kerala, 695521, India'], 'events': ['politics']}"
"""ഒരുപാട് തവണ നേരിട്ടുതന്നെ പറഞ്ഞിട്ടുണ്ട് ജീവിതം കൈവിട്ടുകളയല്ലേയെന്ന്, ഇനി ഒന്നും പറഞ്ഞിട്ട് കാര്യമില്ല, എല്ലാം അവസാനിച്ചു""",https://keralakaumudi.com/news/news.php?id=1526706&u=rip-vishnu-prasad,02-05-2025,സിനിമാ സീരിയൽ താരം വിഷ്ണു പ്രസാദിന് അന്ത്യാഞ്ജലി അർപ്പിച്ച് നടി ബീന ആന്റണി. ജീവിതം കൈവിട്ടുകളയരുതെന്ന് പലതവണ പറഞ്ഞതാണെന്നും ഇനിയൊന്നും പറഞ്ഞിട്ട് കാര്യമില്ലെന്നും ബീന വ്യക്തമാക്കി.,KerelaKaumudi,"""It is not something that life has said that life is not able to be tripped away.",Beena Antony offers an end of Prasad and opening the film Serialer Vishnu Prasad.Beena said it was not something to say that life was not to be tripped.,"{'pers': ['Prasad', 'Vishnu PrasadBeen', 'Beena Antony'], 'events': []}"
"ശ്രീശാന്തിനെ മൂന്ന് വർഷത്തേക്ക് വിലക്കി കേരള ക്രിക്കറ്റ് അസോസിയേഷൻ, സഞ്ജുവിന്റെ അച്ഛനെതിരെ നിയമനടപടി",https://keralakaumudi.com/news/news.php?id=1526710&u=s-sreesanth-banned-from-kca,02-05-2025,കൊച്ചി: ചാമ്പ്യൻസ് ട്രോഫിയ്‌ക്കുള്ള ഇന്ത്യൻ ടീമിൽ സഞ്ജു സാംസണിനെ ഉൾപ്പെടുത്താത്തതിനെ ചൊല്ലിയുള്ള വിവാദത്തിൽ മുൻ ഇന്ത്യൻ ക്രിക്കറ്റ്‌ താരം ശ്രീശാന്തിന് വിലക്ക്.,KerelaKaumudi,"Kerala Cricket Association, Sanju's father's accused of ban Sreesanth for three years","Former Indian cricketer for Sreesanth, the issue of controversy to include Samson, the Indian team for Kochi Champions Trophy.","{'orgs': ['Kerala Cricket Association'], 'pers': ['Sreesanth', 'Samson'], 'miscs': ['Indian', 'Kochi Champions Trophy'], 'locs': [], 'events': ['sports', 'politics']}"
സ്വർണം വാങ്ങാൻ മികച്ച അവസരം വന്നെത്തി; രണ്ട് ദിവസം കൊണ്ട് കുറഞ്ഞത് 1800 രൂപ,https://keralakaumudi.com/news/news.php?id=1526681&u=gold-rate-in-kerala,02-05-2025,"തിരുവനന്തപുരം: സംസ്ഥാനത്ത് ഇന്നും സ്വർണവിലയിൽ ആശ്വാസം. ഇന്ന് ഒരു പവന് 160 രൂപ കുറഞ്ഞ് 70,040 രൂപയായി.",KerelaKaumudi,At least Rs 1800 in two days to buy gold,"Released in gold prices still in the state of Trivandrum.Today, a sovereign rose by Rs 160 to Rs 70,040.","{'locs': [], 'events': []}"
"അമ്മ ചക്ക മുറിക്കുന്നതിനിടെ കാൽവഴുതി കത്തിയുടെ മുകളിലേയ്ക്ക് വീണു, എട്ടുവയസുകാരന് ദാരുണാന്ത്യം",https://keralakaumudi.com/news/news.php?id=1526619&u=eight-year-old-died-falling-on-knife-while-mother-chopping-jack-fruit-at-kasargod,01-05-2025,കാസർകോട്: അമ്മ ചക്ക മുറിക്കുന്നതിനിടെ കത്തിയുടെ മുകളിലേയ്ക്ക് വീണ് എട്ടുവയസുകാരന് ദാരുണാന്ത്യം.,KerelaKaumudi,"Mother Kakka cuts his knives in the top of the knife, and the event sent",The Eti-Said Etiyarwardy Folder falls to the top of the knife in Kasargod mother is cut.,"{'pers': ['Kakka'], 'miscs': ['EtiSaid Ewardy'], 'locs': ['Kerala, 671122, India'], 'events': ['accident']}"
ആശ്വാസമായി എൽപിജി വില; പാചകവാതക സിലിണ്ടറിന്റെ വില 15 രൂപ കുറച്ചു,https://keralakaumudi.com/news/news.php?id=1526605&u=commercial-gas-cylinder-price-reduced-by-15-rupees,01-05-2025,ന്യൂഡൽഹി: വാണിജ്യാവശ്യങ്ങൾക്കുള്ള പാചകവാതക സിലിണ്ടറിന്റെ വില കുറച്ചു. 15.50 രൂപയാണ് കുറച്ചത്. 19 കിലോയുടെ സിലിണ്ടറിന്റെ വിലയാണ് കുറഞ്ഞത്.,KerelaKaumudi,LPG price price reduced the cost of LPG CLDIPAR 15,The price of New Delhi has reduced the cost of commercial wise.15.50 reduced Rs.The price of the cylinder of the cylinder of 19 kg.,"{'miscs': ['LPLDIP'], 'locs': ['Delhi, 110006, India'], 'events': []}"
"ഭർത്താവിന്റെ താടി കളയാൻ ആവശ്യപ്പെട്ടിട്ട് ചെവികൊണ്ടില്ല, താടിയില്ലാത്ത സഹോദരനുമൊത്ത് ഒളിച്ചോടി 25കാരി",https://keralakaumudi.com/news/news.php?id=1526618&u=woman-eloped-after-unhappy-with-husbands-beard-in-uttar-pradesh,01-05-2025,ലക്‌നൗ: ഭർത്താവ് താടി കളയാൻ വിസമ്മതിച്ചതിൽ അതൃപ്‌തയായ ഭാര്യ ഭർത്താവിന്റെ താടിയില്ലാത്ത സഹോദരനുമൊത്ത് ഒളിച്ചോടിയെന്ന് പരാതി.,KerelaKaumudi,You are not earned to earn the bread beard and earned with their beardbed brother by 25,Lucknow The Laknah husband refused to get away with the beard of beard with the beard of bread.,"{'miscs': ['Lucknow'], 'pers': ['Lak'], 'events': []}"
"നിരാഹാര സമരം അവസാനിപ്പിച്ച് ആശമാർ, രാപകൽ സമരം തുടരുമെന്ന് സമരസമിതി",https://keralakaumudi.com/news/news.php?id=1526617&u=protest-of-asha-workers-updates,01-05-2025,തിരുവനന്തപുരം: സെക്രട്ടറിയേറ്റ് പടിക്കൽ ദിവസങ്ങളായി തുടരുന്ന നിരാഹാര സമരം അവസാനിപ്പിച്ച് ആശാ വർക്കർമാ‌ർ.,KerelaKaumudi,The struggle will continue to end the hunger strike and continue,Ashaworks enduring hunger strike to continue for Secretariat Sector Heads of Thiruvananthapuram Secretariat.,"{'orgs': ['Secretariat', 'Ashawor'], 'locs': ['Kerala, 695001, India'], 'events': ['politics']}"
ഭർത്താവിനെ കയറുപയോഗിച്ച് കഴുത്ത് ഞെരിച്ച് കൊന്ന കേസ്; ഭാര്യയെ കോടതി വെറുതെ വിട്ടു,https://keralakaumudi.com/news/news.php?id=1526612&u=murder-case-of-kollam-updates,01-05-2025,കൊല്ലം: ഉറങ്ങിക്കിടന്ന ഭ‌ർത്താവിനെ പ്ലാസ്റ്റിക് കയറുപയോഗിച്ച് കഴുത്ത് ഞെരിച്ച് കൊലപ്പെടുത്തി കേസിൽ ഭാര്യയെ വെറുതെ വിട്ടു.,KerelaKaumudi,The court acquits his wife for allegedly stacking her husband,Wife was acquitted in case of death and killed by the plastic rope.,{'events': ['accident']}
"കെഎസ്ആർടിസിയുടെ പുതിയ പരീക്ഷണവും വിജയത്തിലേക്ക്: യാത്രക്കാർ ഡബിൾ ഹാപ്പി, ഒപ്പം ജീവനക്കാരും",https://keralakaumudi.com/news/news.php?id=1526001&u=implementing-digital-payment-for-tickets-in-ksrtc-buses-is-successful,30-04-2025,ആലപ്പുഴ: കെ.എസ്.ആർ.ടി.സി ബസുകളിൽ ടിക്കറ്റിന് ഡിജിറ്റൽ പണമിടപാട് നടപ്പാക്കുന്നതിന്റെ പരീക്ഷണം ജില്ലയിൽ നടന്നുവരുന്നു.,KerelaKaumudi,Travelers to KSRTC's new test and passengers to success,The experiment of the implementation of the digital cash accident in Alappuzha KSRTC buses is held in the district.,"{'orgs': ['KSRTC'], 'locs': ['Alappuzha, Kerala, India'], 'events': ['accident']}"
"വരനും വധുവുമില്ല; ഇന്ത്യയിൽ ട്രെൻഡിംഗായി മാറി പുതിയ 'വിവാഹ രീതി', വരും വർഷങ്ങളിൽ കേരളത്തിലും?",https://keralakaumudi.com/news/news.php?id=1526000&u=shaadi-without-a-couple-welcome-to-delhi-s-fake-wedding-party-scene,30-04-2025,"ലോകത്ത് എവിടെയായാലും വലിയ ആഘോഷത്തോടെ നടക്കുന്ന ഒന്നാണ് വിവാഹം. ഹൽദി, മെഹന്ദി തുടങ്ങി നിരവധി ആഘോഷങ്ങൾ ഈ കാലഘട്ടത്തിൽ വിവാഹത്തെ തുടർന്ന് നടക്കുന്നു.",KerelaKaumudi,"There is no bride and the bride in India, in India, in India, in the coming years?",Marriage is one of the biggest festivals wherever it is in the world.Haldi and Mahundi playing several festivals in this period.,"{'locs': ['India', 'Ruvuma Region, Southern Highlands Zone, Tanzania'], 'events': []}"
കഞ്ചാവ് കേസിൽ നിന്ന് യു പ്രതിഭ എംഎൽഎയുടെ മകനെ ഒഴിവാക്കി; കുറ്റപത്രം ഉടൻ സമർപ്പിക്കും,https://keralakaumudi.com/news/news.php?id=1525996&u=u-pratibha-mlas-son-kaniv-removed-from-ganja-case-by-excise,30-04-2025,ആലപ്പുഴ: യു പ്രതിഭ എംഎൽഎയുടെ മകൻ കനിവിനെ കഞ്ചാവ് കേസിൽ നിന്ന് ഒഴിവാക്കി എക്‌‌സൈസ്.  ഇടക്കാല റിപ്പോർട്ട് എക്‌സൈസ് കോടതിയിൽ സമർപ്പിച്ചു.,KerelaKaumudi,The chargesheet will soon be submitted to the son of the Labo MLA from the cannabis case,"The son of Alappuzha, the son of Alappuzha, excludes the Kani from the cannon case.The interim report was submitted to the excise court.","{'pers': ['Labo', 'Ka', 'Alappuzha'], 'events': []}"
"36 മണിക്കൂറിൽ സൈനിക തിരിച്ചടി? ഭയന്നുവിറച്ച് പാകിസ്ഥാൻ, ഇന്ത്യയ്‌ക്കെതിരെ എത്ര ദിവസം പിടിച്ചുനിൽക്കും",https://keralakaumudi.com/news/news.php?id=1525994&u=how-long-can-pakistan-hold-out-against-india,30-04-2025,ന്യൂഡൽഹി: അടുത്ത 36 മണിക്കൂറിനുള്ളിൽ പാകിസ്ഥാനെതിരെ ഇന്ത്യ സൈനിക നടപടി ആരംഭിക്കുമെന്ന ഇന്റലിജൻസ് റിപ്പോർട്ട് ലഭിച്ചതോടെ പാകിസ്ഥാൻ ആശങ്കയുടെ മുൾമുനയിലാണ്.,KerelaKaumudi,Military Backback in 36 hours?Fearing Pakistan will be held against India,"The Intelligence report of Pakistan will be held in the next 36 hours, Pakistan was in the thorn.","{'locs': ['India', 'Pakistan'], 'events': []}"
"പുതിയ ട്രെൻഡ് തുടർന്നാൽ മലയാളികൾ ഈ സാധനത്തെ അടുക്കളയിൽ അടുപ്പിക്കില്ല, തമിഴ്നാടും കർണാടകയും ഒരു കാരണം",https://keralakaumudi.com/news/news.php?id=1526006&u=coconut-oil-price-kerala-updates,30-04-2025,കോ​ല​ഞ്ചേ​രി​:​ ​സെ​ഞ്ച്വ​റി​യ​ടി​ക്കാ​ൻ​ ​കു​തി​ക്കു​ക​യാ​ണ് ​തേ​ങ്ങ.​ ​ഉ​ണ​ങ്ങി​യ​ ​തേ​ങ്ങ​ ​പൊ​തി​ച്ച​തി​ന് ​കി​ലോ​ 85​ ​രൂ​പ​യാ​യി​രു​ന്നു​ ​ക​ഴി​ഞ്ഞ​ ​ദി​വ​സ​ത്തെ​ ​ചി​ല്ല​റ​ ​വി​ല്പ​ന​ ​വി​ല.​ ​,KerelaKaumudi,"Malayalees will not draw this new kitchen, Tamil Nun and Karnataka",Coconut is leaping to score the Kolencheri centuries.The retail price price was Rs 85 for the package of dry coconut.,"{'orgs': ['Karnataka Coconut', 'Tamil Nun'], 'miscs': ['Kolencher'], 'events': ['sports']}"
എസ്‌എസ്‌എൽസി പരീക്ഷാ ഫലം മേയ് ഒമ്പതിന്; നടപടികൾ പൂർത്തിയായി,https://keralakaumudi.com/news/news.php?id=1525383&u=sslc-result-2025,29-04-2025,തിരുവനന്തപുരം: ഈ വർഷത്തെ എസ്‌എസ്‌എൽസി പരീക്ഷാഫലം മേയ് ഒമ്പത് വെള്ളിയാഴ്‌ച പ്രഖ്യാപിക്കും.,KerelaKaumudi,SSLC examination result is completed for maiden,Thiruvananthapuram will be announced on Fridays on Friday this year.,"{'orgs': ['SSLChirunthapuram'], 'events': []}"
"'മേക്കപ്പിട്ട് കഴിഞ്ഞാൽ വേറെ ക്യാരക്‌ടറാണ്, സ്വയം മറന്ന് പോകുന്നു'; വിമർശനവുമായി ലിസ്റ്റിൻ സ്റ്റീഫൻ",https://keralakaumudi.com/news/news.php?id=1525372&u=listin-stephen-on-actors-increasing-payment,29-04-2025,ജനങ്ങൾ നൽകുന്ന സ്‌നേഹത്തിന്റെ പുറത്ത് താരങ്ങൾ നി‌ർമാതാക്കളെ മുതലെടുക്കുകയാണെന്ന് നിർമാതാവ് ലിസ്റ്റിൻ സ്റ്റീഫൻ.,KerelaKaumudi,"'After Making Making Other Caracter, Its Helping Self-forgotten?",Steam Stephen Stephen is taking advantage of the states outside the love of the love of people.,"{'miscs': ['Other Caracter'], 'pers': ['Stephen Stephen'], 'events': []}"
